,clientes,predicción
409,95856,0
410,95858,1
411,95876,0
412,95882,0
413,95888,0
414,95894,0
415,95906,1
416,95912,1
417,95924,0
418,95932,1
419,95938,1
420,95942,0
421,95982,1
422,95986,1
423,96004,1
424,96008,1
425,96020,0
426,96022,1
427,96026,1
428,96028,1
429,96036,1
430,96046,0
431,96052,1
432,96056,0
433,96058,1
434,96070,1
435,96074,1
436,96076,0
437,96080,0
438,96088,0
439,96090,1
440,96092,0
441,96094,1
442,96102,1
443,96104,0
444,96106,1
445,96108,0
446,96110,1
447,96112,1
448,96116,0
449,96120,0
450,96124,1
451,96132,1
452,96138,1
453,96154,1
454,96168,0
455,96174,0
456,96182,0
457,96188,0
458,96192,0
459,96196,0
460,96212,0
461,96216,0
462,96218,1
463,96220,0
464,96228,0
465,96240,0
466,96250,0
467,96258,0
468,96264,0
469,96268,1
470,96280,0
471,96284,0
472,96290,0
473,96294,0
474,96306,0
475,96310,1
476,96314,0
477,96316,0
478,96318,0
479,96332,1
480,96338,1
481,96342,1
482,96366,0
483,96392,1
484,96400,0
485,96414,1
486,96416,0
487,96424,1
488,96428,1
489,96436,1
490,96438,1
491,96440,1
492,96448,1
493,96468,0
494,96480,0
495,96488,0
496,96520,1
497,96522,0
498,96524,0
499,96526,0
500,96534,0
501,96548,1
502,96552,0
503,96570,0
504,96574,0
505,96576,1
506,96600,0
507,96622,0
508,96632,0
509,96644,1
510,96648,0
511,96672,0
512,96682,0
513,96686,0
514,96696,0
515,96720,0
516,96722,0
517,96726,0
518,96730,1
519,96740,1
520,96742,0
521,96746,1
522,96764,1
523,96768,1
524,96772,0
525,96774,1
526,96780,0
527,96782,1
528,96796,0
529,96800,0
530,96814,0
531,96826,1
532,96838,1
533,96840,1
534,96842,0
535,96864,0
536,96868,1
537,96882,1
538,96886,0
539,96906,1
540,96914,0
541,96936,0
542,96940,1
543,96946,0
544,96954,0
545,96970,1
546,96972,0
547,96992,1
548,97004,0
549,97018,0
550,97022,1
551,97036,1
552,97038,0
553,97052,0
554,97054,0
555,97058,0
556,97064,0
557,97084,0
558,97086,0
559,97090,0
560,97118,0
561,97130,0
562,97132,0
563,97136,0
564,97146,0
565,97150,1
566,97198,0
567,97202,1
568,97204,1
569,97208,0
570,97212,0
571,97226,0
572,97232,0
573,97254,1
574,97266,1
575,97270,1
576,97272,1
577,97296,0
578,97300,1
579,97304,1
580,97308,1
581,97310,1
582,97316,0
583,97322,0
584,97328,0
585,97330,1
586,97332,0
587,97348,1
588,97378,1
589,97388,0
590,97390,1
591,97392,1
592,97404,0
593,97428,1
594,97432,0
595,97444,0
596,97450,1
597,97454,1
598,97476,0
599,97480,1
600,97484,0
601,97502,0
602,97506,1
603,97524,1
604,97528,1
605,97548,1
606,97550,0
607,97554,1
608,97572,1
609,97596,0
610,97602,1
611,97630,1
612,97638,1
613,97662,0
614,97668,1
615,97672,1
616,97694,1
617,97714,1
618,97730,0
619,97778,0
620,97790,1
621,97796,0
622,97804,1
623,97810,1
624,97832,0
625,97848,0
626,97856,1
627,97866,0
628,97870,1
629,97890,1
630,97898,1
631,97904,0
632,97912,0
633,97934,0
634,97942,0
635,97944,1
636,97946,0
637,97956,1
638,97988,0
639,97998,1
640,98004,0
641,98012,1
642,98024,0
643,98026,1
644,98056,1
645,98058,1
646,98078,0
647,98104,1
648,98114,1
649,98122,0
650,98132,0
651,98138,1
652,98140,1
653,98154,0
654,98176,0
655,98190,1
656,98194,0
657,98196,1
658,98202,0
659,98210,0
660,98222,0
661,98224,0
662,98228,1
663,98230,1
664,98236,0
665,98238,0
666,98240,1
667,98244,0
668,98246,0
669,98256,1
670,98258,1
671,98264,0
672,98268,0
673,98272,0
674,98302,0
675,98304,0
676,98308,0
677,98310,1
678,98312,0
679,98316,1
680,98320,0
681,98322,0
682,98332,0
683,98336,1
684,98344,1
685,98356,0
686,98360,0
687,98362,0
688,98364,1
689,98366,0
690,98368,0
691,98390,0
692,98394,0
693,98410,0
694,98424,0
695,98426,0
696,98430,1
697,98440,0
698,98444,0
699,98446,1
700,98468,0
701,98478,0
702,98488,0
703,98494,0
704,98516,0
705,98518,0
706,98520,0
707,98526,1
708,98530,1
709,98532,0
710,98544,1
711,98548,0
712,98550,0
713,98556,1
714,98558,1
715,98560,0
716,98580,0
717,98592,0
718,98594,1
719,98612,1
720,98614,0
721,98618,0
722,98622,0
723,98630,0
724,98634,0
725,98646,1
726,98648,0
727,98652,0
728,98654,1
729,98676,0
730,98680,0
731,98700,0
732,98702,0
733,98704,1
734,98718,0
735,98726,0
736,98732,1
737,98740,0
738,98754,1
739,98756,0
740,98764,0
741,98766,0
742,98772,1
743,98796,0
744,98800,0
745,98824,0
746,98828,1
747,98840,1
748,98844,1
749,98880,1
750,98918,0
751,98948,1
752,98954,1
753,98958,0
754,98962,0
755,98988,1
756,98994,0
757,99014,0
758,99016,1
759,99022,0
760,99036,1
761,99046,1
762,99052,0
763,99056,1
764,99068,0
765,99074,0
766,99076,1
767,99080,0
768,99094,1
769,99098,0
770,99108,1
771,99114,0
772,99140,0
773,99156,0
774,99172,0
775,99180,1
776,99186,0
777,99192,0
778,99196,1
779,99210,0
780,99216,0
781,99224,0
782,99226,1
783,99264,1
784,99266,0
785,99274,0
786,99304,1
787,99306,1
788,99320,1
789,99334,0
790,99360,0
791,99362,0
792,99376,0
793,99378,0
794,99382,1
795,99396,1
796,99418,0
797,99420,0
798,99428,0
799,99462,0
800,99464,0
801,99484,1
802,99500,0
803,99506,0
804,99508,1
805,99510,0
806,99514,1
807,99528,0
808,99530,1
809,99536,0
810,99552,0
811,99556,1
812,99564,0
813,99566,1
814,99574,0
815,99586,1
816,99590,0
817,99606,1
818,99608,0
819,99614,0
820,99626,0
821,99630,0
822,99640,0
823,99646,0
824,99648,0
825,99650,0
826,99658,0
827,99662,0
828,99670,0
829,99678,1
830,99680,1
831,99704,0
832,99724,0
833,99732,0
834,99740,0
835,99744,0
836,99746,1
837,99758,0
838,99772,1
839,99782,1
840,99786,0
841,99790,1
842,99798,0
843,99814,0
844,99822,0
845,99826,1
846,99834,0
847,99844,0
848,99854,0
849,99862,1
850,99874,0
851,99884,0
852,99886,1
853,99910,0
854,99926,0
855,99930,1
856,99948,0
857,99954,1
858,99968,1
859,99992,0
860,100006,1
861,100014,0
862,100020,0
863,100030,1
864,100042,0
865,100052,0
866,100054,1
867,100072,0
868,100078,0
869,100108,1
870,100110,0
871,100154,0
872,100162,0
873,100176,0
874,100180,0
875,100196,0
876,100198,0
877,100202,0
878,100216,0
879,100218,0
880,100220,1
881,100252,1
882,100262,0
883,100264,0
884,100266,0
885,100276,0
886,100284,0
887,100310,1
888,100324,1
889,100326,1
890,100334,0
891,100340,0
892,100342,0
893,100344,0
894,100372,0
895,100392,0
896,100394,0
897,100398,1
898,100400,0
899,100418,0
900,100422,0
901,100424,0
902,100428,0
903,100430,1
904,100438,1
905,100440,1
906,100444,0
907,100448,0
908,100468,1
909,100472,0
910,100476,1
911,100478,0
912,100486,0
913,100488,0
914,100494,0
915,100520,0
916,100528,0
917,100532,0
918,100538,1
919,100544,0
920,100546,0
921,100556,1
922,100566,0
923,100578,1
924,100584,0
925,100590,0
926,100598,1
927,100600,1
928,100602,1
929,100604,1
930,100608,0
931,100614,0
932,100624,0
933,100626,1
934,100634,0
935,100640,0
936,100642,0
937,100648,0
938,100658,0
939,100670,0
940,100678,1
941,100680,0
942,100684,1
943,100690,0
944,100698,1
945,100700,1
946,100712,1
947,100716,0
948,100720,0
949,100744,0
950,100746,0
951,100750,0
952,100752,1
953,100754,1
954,100766,0
955,100782,1
956,100784,0
957,100788,1
958,100804,0
959,100806,0
960,100818,0
961,100824,1
962,100826,1
963,100834,1
964,100836,0
965,100846,0
966,100856,0
967,100860,0
968,100874,0
969,100878,1
970,100894,1
971,100900,0
972,100904,1
973,100914,1
974,100916,1
975,100920,1
976,100924,1
977,100926,0
978,100928,0
979,100930,0
980,100934,1
981,100940,0
982,100944,0
983,100946,0
984,100956,0
985,100958,1
986,100968,0
987,100972,0
988,100988,0
989,100998,1
990,101014,0
991,101016,1
992,101018,1
993,101024,1
994,101032,0
995,101038,1
996,101040,0
997,101048,0
998,101052,0
999,101066,0
1000,101068,1
1001,101072,0
1002,101074,1
1003,101076,0
1004,101084,0
1005,101088,1
1006,101106,0
1007,101110,1
1008,101114,1
1009,101124,0
1010,101128,0
1011,101138,0
1012,101148,0
1013,101162,0
1014,101166,1
1015,101172,0
1016,101176,1
1017,101178,0
1018,101190,1
1019,101200,1
1020,101210,0
1021,101234,1
1022,101240,0
1023,101250,0
1024,101282,0
1025,101286,1
1026,101296,0
1027,101312,0
1028,101342,1
1029,101352,1
1030,101356,1
1031,101358,0
1032,101362,1
1033,101376,0
1034,101396,0
1035,101414,0
1036,101420,1
1037,101422,0
1038,101426,0
1039,101430,1
1040,101440,1
1041,101454,0
1042,101462,1
1043,101466,1
1044,101476,0
1045,101484,0
1046,101488,1
1047,101490,0
1048,101502,0
1049,101512,1
1050,101516,0
1051,101522,0
1052,101534,0
1053,101540,0
1054,101572,1
1055,101574,1
1056,101584,0
1057,101586,0
1058,101598,1
1059,101606,0
1060,101608,1
1061,101610,0
1062,101624,0
1063,101638,0
1064,101648,0
1065,101662,0
1066,101666,0
1067,101668,0
1068,101670,1
1069,101676,1
1070,101680,0
1071,101696,1
1072,101704,0
1073,101712,1
1074,101714,1
1075,101722,1
1076,101724,1
1077,101728,0
1078,101738,1
1079,101744,0
1080,101774,0
1081,101804,1
1082,101822,0
1083,101838,1
1084,101854,1
1085,101858,0
1086,101882,0
1087,101884,0
1088,101886,0
1089,101890,0
1090,101892,0
1091,101896,0
1092,101900,1
1093,101902,1
1094,101904,0
1095,101908,1
1096,101910,0
1097,101912,0
1098,101934,0
1099,101936,0
1100,101938,0
1101,101954,0
1102,101964,0
1103,101968,0
1104,101982,0
1105,101984,0
1106,101988,1
1107,101992,1
1108,102002,0
1109,102006,0
1110,102010,1
1111,102016,1
1112,102018,1
1113,102020,1
1114,102044,0
1115,102048,0
1116,102050,0
1117,102052,0
1118,102060,0
1119,102070,0
1120,102078,0
1121,102098,1
1122,102118,1
1123,102134,0
1124,102136,0
1125,102140,0
1126,102146,0
1127,102152,1
1128,102156,1
1129,102162,1
1130,102164,1
1131,102170,0
1132,102178,1
1133,102180,0
1134,102188,1
1135,102192,0
1136,102194,1
1137,102196,0
1138,102204,1
1139,102206,1
1140,102216,1
1141,102226,0
1142,102228,0
1143,102230,0
1144,102240,1
1145,102244,0
1146,102252,0
1147,102254,0
1148,102274,0
1149,102278,0
1150,102282,1
1151,102284,0
1152,102296,1
1153,102308,1
1154,102310,0
1155,102312,1
1156,102314,1
1157,102326,0
1158,102338,1
1159,102340,0
1160,102352,0
1161,102362,0
1162,102378,1
1163,102390,0
1164,102392,1
1165,102410,0
1166,102412,1
1167,102414,0
1168,102420,0
1169,102434,1
1170,102454,0
1171,102462,1
1172,102464,1
1173,102476,0
1174,102482,0
1175,102484,1
1176,102492,1
1177,102508,0
1178,102514,1
1179,102522,0
1180,102528,0
1181,102546,1
1182,102568,0
1183,102570,0
1184,102572,1
1185,102574,0
1186,102576,0
1187,102584,0
1188,102596,0
1189,102598,0
1190,102614,1
1191,102622,0
1192,102624,0
1193,102628,1
1194,102630,0
1195,102632,0
1196,102636,0
1197,102640,0
1198,102654,0
1199,102656,0
1200,102664,0
1201,102666,1
1202,102668,0
1203,102670,0
1204,102672,1
1205,102680,0
1206,102684,0
1207,102692,0
1208,102694,0
1209,102696,1
1210,102706,0
1211,102712,0
1212,102716,0
1213,102732,1
1214,102734,0
1215,102736,1
1216,102740,0
1217,102748,1
1218,102752,0
1219,102756,0
1220,102780,0
1221,102790,0
1222,102794,1
1223,102796,0
1224,102800,0
1225,102814,1
1226,102830,1
1227,102832,0
1228,102914,0
1229,102928,0
1230,103058,0
1231,103072,0
1232,103080,0
1233,103084,1
1234,103106,0
1235,103110,1
1236,103112,0
1237,103116,1
1238,103118,1
1239,103120,0
1240,103126,0
1241,103130,0
1242,103132,0
1243,103134,0
1244,103140,0
1245,103142,1
1246,103150,1
1247,103158,0
1248,103164,1
1249,103166,0
1250,103172,1
1251,103214,0
1252,103216,0
1253,103218,0
1254,103228,0
1255,103230,0
1256,103232,1
1257,103236,0
1258,103252,1
1259,103268,1
1260,103278,1
1261,103282,0
1262,103298,1
1263,103312,1
1264,103348,0
1265,103354,0
1266,103362,0
1267,103364,0
1268,103366,0
1269,103374,0
1270,103376,0
1271,103380,0
1272,103390,0
1273,103404,0
1274,103408,1
1275,103422,0
1276,103434,0
1277,103436,0
1278,103440,0
1279,103446,0
1280,103462,0
1281,103472,1
1282,103480,1
1283,103486,1
1284,103488,0
1285,103500,0
1286,103510,1
1287,103514,0
1288,103522,1
1289,103542,0
1290,103546,0
1291,103558,1
1292,103560,0
1293,103568,0
1294,103572,0
1295,103574,0
1296,103578,1
1297,103592,1
1298,103604,0
1299,103610,0
1300,103620,1
1301,103622,0
1302,103624,0
1303,103626,0
1304,103634,1
1305,103638,1
1306,103648,0
1307,103658,1
1308,103666,0
1309,103688,1
1310,103692,1
1311,103704,0
1312,103710,1
1313,103726,0
1314,103754,0
1315,103758,0
1316,103762,1
1317,103774,1
1318,103792,0
1319,103802,0
1320,103816,1
1321,103818,1
1322,103824,0
1323,103838,0
1324,103844,0
1325,103860,0
1326,103862,1
1327,103872,0
1328,103886,0
1329,103908,0
1330,103910,0
1331,103912,1
1332,103914,0
1333,103918,0
1334,103922,0
1335,103930,1
1336,103932,1
1337,103946,0
1338,103952,0
1339,103956,1
1340,103964,0
1341,103966,1
1342,103974,0
1343,103982,0
1344,103984,1
1345,103996,1
1346,104022,0
1347,104024,1
1348,104034,1
1349,104044,1
1350,104046,0
1351,104052,0
1352,104062,1
1353,104066,0
1354,104068,1
1355,104070,0
1356,104082,1
1357,104084,0
1358,104088,0
1359,104120,1
1360,104124,0
1361,104128,0
1362,104146,0
1363,104152,0
1364,104160,1
1365,104164,1
1366,104168,0
1367,104170,1
1368,104176,1
1369,104200,1
1370,104202,0
1371,104208,0
1372,104216,0
1373,104220,0
1374,104232,1
1375,104238,1
1376,104242,0
1377,104248,1
1378,104250,0
1379,104252,0
1380,104264,0
1381,104306,0
1382,104310,1
1383,104314,1
1384,104316,0
1385,104342,0
1386,104358,1
1387,104360,1
1388,104364,0
1389,104370,0
1390,104378,0
1391,104404,0
1392,104432,0
1393,104444,0
1394,104446,0
1395,104454,0
1396,104456,0
1397,104494,0
1398,104498,0
1399,104500,0
1400,104518,1
1401,104522,0
1402,104526,1
1403,104556,0
1404,104560,0
1405,104576,1
1406,104584,0
1407,104590,0
1408,104598,0
1409,104600,0
1410,104604,1
1411,104606,1
1412,104618,0
1413,104626,0
1414,104640,0
1415,104644,0
1416,104656,1
1417,104658,0
1418,104682,0
1419,104688,1
1420,104692,0
1421,104698,0
1422,104702,0
1423,104704,1
1424,104706,0
1425,104728,0
1426,104730,1
1427,104736,0
1428,104744,1
1429,104746,0
1430,104752,1
1431,104754,1
1432,104758,0
1433,104764,1
1434,104766,0
1435,104774,0
1436,104780,0
1437,104782,1
1438,104790,0
1439,104800,1
1440,104808,0
1441,104810,0
1442,104812,0
1443,104814,0
1444,104826,0
1445,104832,0
1446,104840,0
1447,104842,0
1448,104854,1
1449,104860,1
1450,104864,0
1451,104898,0
1452,104904,0
1453,104908,1
1454,104910,0
1455,104912,1
1456,104920,1
1457,104924,0
1458,104944,0
1459,104948,0
1460,104954,0
1461,104966,0
1462,104982,0
1463,104990,1
1464,104994,0
1465,105002,1
1466,105024,0
1467,105030,0
1468,105034,0
1469,105038,0
1470,105046,1
1471,105052,1
1472,105058,0
1473,105062,1
1474,105074,1
1475,105080,0
1476,105102,0
1477,105110,0
1478,105118,0
1479,105124,0
1480,105130,0
1481,105134,1
1482,105138,1
1483,105148,0
1484,105158,0
1485,105166,1
1486,105176,0
1487,105178,0
1488,105180,0
1489,105188,1
1490,105204,1
1491,105210,0
1492,105212,1
1493,105216,1
1494,105226,0
1495,105240,0
1496,105242,1
1497,105246,0
1498,105248,0
1499,105264,0
1500,105274,1
1501,105282,1
1502,105292,0
1503,105300,0
1504,105322,0
1505,105328,0
1506,105330,1
1507,105336,0
1508,105346,0
1509,105352,1
1510,105368,0
1511,105378,1
1512,105388,0
1513,105400,0
1514,105414,0
1515,105426,1
1516,105432,1
1517,105444,1
1518,105446,0
1519,105456,0
1520,105462,1
1521,105472,1
1522,105478,1
1523,105482,0
1524,105488,0
1525,105490,1
1526,105494,1
1527,105506,0
1528,105510,1
1529,105516,1
1530,105524,0
1531,105526,0
1532,105530,0
1533,105532,0
1534,105540,1
1535,105544,0
1536,105550,1
1537,105552,1
1538,105556,1
1539,105560,0
1540,105562,1
1541,105568,0
1542,105576,0
1543,105578,1
1544,105580,0
1545,105590,0
1546,105598,1
1547,105600,0
1548,105610,0
1549,105614,0
1550,105622,0
1551,105632,0
1552,105646,0
1553,105650,0
1554,105660,1
1555,105670,0
1556,105704,0
1557,105720,0
1558,105724,0
1559,105732,0
1560,105740,1
1561,105744,1
1562,105746,0
1563,105748,0
1564,105754,1
1565,105774,0
1566,105788,1
1567,105790,0
1568,105792,0
1569,105794,0
1570,105800,0
1571,105802,0
1572,105804,1
1573,105806,1
1574,105812,1
1575,105814,1
1576,105818,0
1577,105820,0
1578,105822,0
1579,105830,1
1580,105840,1
1581,105842,0
1582,105846,1
1583,105850,0
1584,105856,1
1585,105858,0
1586,105862,0
1587,105864,1
1588,105898,0
1589,105902,0
1590,105904,1
1591,105918,0
1592,105938,1
1593,105940,1
1594,105942,0
1595,105946,0
1596,105948,0
1597,105950,1
1598,105956,0
1599,105958,0
1600,105960,0
1601,105962,0
1602,105968,1
1603,105976,1
1604,105978,1
1605,105982,1
1606,105990,0
1607,105996,0
1608,106004,0
1609,106006,0
1610,106028,0
1611,106042,0
1612,106046,0
1613,106054,0
1614,106072,0
1615,106076,0
1616,106080,0
1617,106084,0
1618,106088,0
1619,106116,0
1620,106126,0
1621,106132,0
1622,106144,1
1623,106146,0
1624,106148,0
1625,106150,0
1626,106166,1
1627,106168,1
1628,106174,0
1629,106178,0
1630,106188,0
1631,106200,0
1632,106206,0
1633,106208,1
1634,106218,0
1635,106220,0
1636,106222,0
1637,106224,1
1638,106242,0
1639,106248,1
1640,106250,1
1641,106254,0
1642,106256,0
1643,106276,1
1644,106290,0
1645,106292,0
1646,106294,1
1647,106296,0
1648,106300,0
1649,106304,0
1650,106308,0
1651,106314,1
1652,106316,1
1653,106334,0
1654,106352,0
1655,106356,0
1656,106366,0
1657,106368,1
1658,106374,0
1659,106382,1
1660,106384,1
1661,106392,1
1662,106396,0
1663,106418,1
1664,106422,0
1665,106434,0
1666,106448,1
1667,106456,0
1668,106460,0
1669,106468,0
1670,106474,1
1671,106482,0
1672,106484,1
1673,106486,0
1674,106490,0
1675,106496,0
1676,106502,0
1677,106514,0
1678,106522,0
1679,106528,1
1680,106532,1
1681,106542,1
1682,106544,0
1683,106556,0
1684,106574,1
1685,106582,1
1686,106586,0
1687,106590,0
1688,106596,0
1689,106604,1
1690,106630,1
1691,106634,1
1692,106636,0
1693,106638,1
1694,106652,0
1695,106672,0
1696,106676,1
1697,106680,0
1698,106694,0
1699,106706,0
1700,106716,0
1701,106718,0
1702,106740,0
1703,106762,1
1704,106766,0
1705,106784,1
1706,106804,1
1707,106820,0
1708,106844,0
1709,106856,1
1710,106866,0
1711,106872,1
1712,106880,1
1713,106882,1
1714,106884,1
1715,106892,0
1716,106896,0
1717,106900,0
1718,106902,1
1719,106914,1
1720,106926,0
1721,106936,0
1722,106942,1
1723,106946,0
1724,106954,1
1725,106976,1
1726,106978,1
1727,106980,1
1728,106986,0
1729,107014,1
1730,107016,1
1731,107018,0
1732,107024,1
1733,107026,0
1734,107028,0
1735,107036,1
1736,107044,1
1737,107054,0
1738,107064,0
1739,107078,1
1740,107082,1
1741,107090,0
1742,107094,1
1743,107096,1
1744,107102,1
1745,107104,0
1746,107110,1
1747,107114,1
1748,107136,0
1749,107146,0
1750,107150,0
1751,107154,0
1752,107160,1
1753,107166,0
1754,107174,1
1755,107178,0
1756,107188,0
1757,107196,1
1758,107202,0
1759,107226,0
1760,107236,1
1761,107238,1
1762,107242,0
1763,107252,1
1764,107258,0
1765,107268,1
1766,107270,0
1767,107296,0
1768,107302,0
1769,107304,1
1770,107310,0
1771,107324,1
1772,107340,1
1773,107346,1
1774,107348,1
1775,107356,0
1776,107362,0
1777,107370,0
1778,107374,0
1779,107376,0
1780,107416,1
1781,107418,1
1782,107422,0
1783,107430,0
1784,107432,0
1785,107440,0
1786,107442,0
1787,107452,1
1788,107470,1
1789,107484,0
1790,107514,0
1791,107530,0
1792,107532,0
1793,107544,1
1794,107566,0
1795,107572,0
1796,107574,1
1797,107582,1
1798,107584,0
1799,107604,0
1800,107608,1
1801,107610,1
1802,107620,0
1803,107636,1
1804,107644,1
1805,107664,1
1806,107670,0
1807,107686,0
1808,107710,0
1809,107716,0
1810,107718,0
1811,107730,1
1812,107740,0
1813,107756,1
1814,107810,0
1815,107838,1
1816,107840,1
1817,107846,1
1818,107854,0
1819,107860,1
1820,107872,0
1821,107892,1
1822,107906,1
1823,107918,1
1824,107930,1
1825,107938,0
1826,107942,0
1827,107944,1
1828,107952,0
1829,107960,1
1830,107966,1
1831,107974,1
1832,107978,0
1833,107982,1
1834,107996,1
1835,108000,0
1836,108008,0
1837,108022,0
1838,108038,0
1839,108050,0
1840,108062,1
1841,108072,1
1842,108078,0
1843,108088,0
1844,108092,0
1845,108112,1
1846,108120,1
1847,108174,1
1848,108188,1
1849,108198,0
1850,108210,1
1851,108222,1
1852,108256,0
1853,108260,1
1854,108296,0
1855,108298,0
1856,108300,0
1857,108306,1
1858,108312,0
1859,108314,1
1860,108330,0
1861,108344,1
1862,108354,0
1863,108364,1
1864,108398,0
1865,108400,0
1866,108424,0
1867,108470,0
1868,108488,0
1869,108490,1
1870,108502,0
1871,108516,1
